Station Name,Station ID,Station Latitude,Station Longitude
E 88 St & Park Ave,3284,40.7814107,-73.95595908
W 87 St & Amsterdam Ave,3285,40.78839,-73.9747
E 89 St & 3 Ave,3286,40.7806284,-73.9521667
E 88 St & 1 Ave,3288,40.778301,-73.9488134
W 90 St & Amsterdam Ave,3289,40.79017948,-73.97288918
E 89 St & York Ave,3290,40.7779453,-73.946041
5 Ave & E 93 St,3292,40.7857851,-73.957481
W 92 St & Broadway,3293,40.7921,-73.9739
E 91 St & Park Ave,3294,40.7835016,-73.955327
Central Park W & W 96 St,3295,40.79127,-73.964839
E 93 St & 2 Ave,3296,40.78245418,-73.94891962
6 St & 7 Ave,3297,40.6686627,-73.97988067
Warren St & Court St,3298,40.686371,-73.99383324
Prospect Park West & 8 St,3300,40.66514682,-73.97637606
Columbus Ave & W 95 St,3301,40.7919557,-73.968087
Columbus Ave & W 103 St,3302,40.7969347,-73.96434123
Butler St & Court St,3303,40.6849894,-73.99440329
6 Ave & 9 St,3304,40.668127,-73.98377641
E 91 St & 2 Ave,3305,40.7811223,-73.94965589
10 St & 7 Ave,3306,40.6662078,-73.98199886
West End Ave & W 94 St,3307,40.7941654,-73.974124
Kane St & Clinton St,3308,40.6861758,-73.99645295
E 97 St & 3 Ave,3309,40.7859201,-73.94860294
14 St & 7 Ave,3310,40.663779,-73.98396846
Columbia St & Kane St,3311,40.68763155,-74.0016256
1 Ave & E 94 St,3312,40.7817212,-73.94594
6 Ave & 12 St,3313,40.6663181,-73.9854617
W 95 St & Broadway,3314,40.7937704,-73.971888
Henry St & Degraw St,3315,40.6847514,-73.99917254
W 104 St & Amsterdam Ave - 1,3316,40.7989937,-73.96621738
10 St & 5 Ave,3317,40.6686273,-73.98700053
2 Ave & E 96 St,3318,40.7839636,-73.9471673
14 St & 5 Ave,3319,40.666287,-73.98895053
Central Park West & W 100 St,3320,40.79406661,-73.96286845
Clinton St & Union St,3321,40.6831164,-73.99785267
12 St & 4 Ave,3322,40.668603,-73.9904394
W 106 St & Central Park West,3323,40.7981856,-73.9605909
3 Ave & 14 St,3324,40.6685455,-73.99333264
E 95 St & 3 Ave,3325,40.7849032,-73.950503
Clinton St & Centre St,3326,40.67434,-74.00194698
3 Ave & E 100 St,3327,40.7877214,-73.94728331
W 100 St & Manhattan Ave,3328,40.795,-73.9645
Degraw St & Smith St,3329,40.6829151,-73.99318208
Henry St & Bay St,3330,40.6725058,-74.00494695
Riverside Dr & W 104 St,3331,40.8013434,-73.97114574
Degraw St & Hoyt St,3332,40.68199044,-73.99079025
Columbia St & Lorraine St,3333,40.6747055,-74.0075572
Union St & 4 Ave,3335,40.6772744,-73.98282002
E 97 St & Madison Ave,3336,40.787801,-73.953559
Dwight St & Van Dyke St,3337,40.67363551,-74.01195556
2 Ave & E 99 St,3338,40.7862586,-73.94552579
Berkeley Pl & 6 Ave,3339,40.6765304,-73.97846879
Wolcott St & Dwight St,3340,40.6753274,-74.0100698
Central Park West & W 102 St,3341,40.795346,-73.96186
Pioneer St & Richards St,3342,40.6777748,-74.0094613
W 107 St & Columbus Ave,3343,40.7997568,-73.96211287
Pioneer St & Van Brunt St,3344,40.679043,-74.011169
